source,id,year,title,doi,language,url
MED,42527782,2026,CMB-Net: A Clinically Modulated Boundary-Aware Network for Anatomical Segmentation of the Cervical Transformation Zone in Colposcopy.,10.1007/s10278-026-02155-z,eng,https://pubmed.ncbi.nlm.nih.gov/42527782/
MED,40439417,2025,CervicalMethDx: A Precision DNA Methylation Test to Identify Risk of High-Grade Intraepithelial Lesions in Cervical Cancer Screening Algorithms.,10.1158/1940-6207.capr-25-0029,eng,https://pubmed.ncbi.nlm.nih.gov/40439417/
MED,42687827,2026,Quantitative morphometry of the cervix using deep learning and geometric area estimation techniques.,10.1002/ijgo.71333,eng,https://pubmed.ncbi.nlm.nih.gov/42687827/
MED,41031150,2025,A Systematic Review of the Application of Artificial Intelligence in Colposcopy: Diagnostic Accuracy for Cervical Intraepithelial Neoplasia and Cervical Cancer.,10.1177/11795549251374908,eng,https://pubmed.ncbi.nlm.nih.gov/41031150/
MED,41719365,2026,AID-FGS: Artificial intelligence-enabled diagnosis of female genital schistosomiasis: Preliminary findings.,10.1371/journal.pdig.0001255,eng,https://pubmed.ncbi.nlm.nih.gov/41719365/
MED,42694624,2026,Research progress on HPV-related vaginal wall lesions after hysterectomy.,10.3389/fonc.2026.1897256,eng,https://pubmed.ncbi.nlm.nih.gov/42694624/
MED,41984178,2026,Development and validation of a deep learning radiomics model for predicting adjacent segment degeneration following anterior cervical discectomy and fusion.,10.1007/s00586-026-09939-5,eng,https://pubmed.ncbi.nlm.nih.gov/41984178/
MED,42199989,2026,"Recent advancements in the application of artificial intelligence-based approaches for screening, diagnosis, prognosis and treatment of cervical cancer.",10.3389/or.2026.1760156,eng,https://pubmed.ncbi.nlm.nih.gov/42199989/
PPR,PPR1116977,2025,"Artificial Intelligence in Cytological Diagnosis: A Narrative Review of Current Applications, Challenges, and Future Perspectives",10.1590/scielopreprints.13888,,https://europepmc.org/article/PPR/PPR1116977
PPR,PPR1241349,2026,"From Telehealth to Artificial Intelligence: Digital Health Technologies for Indigenous Communities—A Systematic Review of Diagnostic Access, Ethical Governance, and Sustainable Health Equity",10.20944/preprints202605.1978.v1,,https://europepmc.org/article/PPR/PPR1241349
MED,41966523,2026,Comprehensive Assessment of Artificial Intelligence as a Stand-Alone Tool for Cervical Cancer Screening Using a 50% Negative Cutoff Value.,10.1016/j.labinv.2026.106126,eng,https://pubmed.ncbi.nlm.nih.gov/41966523/
MED,42487758,2026,A novel interpretable machine learning framework for predicting postpartum depression: a SHAP-based analysis of maternal and infant health indicators.,10.3389/fpsyt.2026.1888858,eng,https://pubmed.ncbi.nlm.nih.gov/42487758/
MED,41799691,2026,High-Risk Clinical Characteristics and Risk Model for Unexpected Cervical Cancer Diagnosed After Surgery in Patients with LSIL/HSIL Biopsy.,10.2147/ijwh.s584455,eng,https://pubmed.ncbi.nlm.nih.gov/41799691/
MED,42140194,2026,Artificial intelligence-driven integration of multi-biofluid omics and clinical phenotype enables stratification of endometrial cancer.,10.1016/j.xcrm.2026.102805,eng,https://pubmed.ncbi.nlm.nih.gov/42140194/
MED,42124807,2026,A Prospective Study to Assess the Utility of Artificial Intelligence-driven Cervical Screening Using Smart Scope versus Conventional Method.,10.4103/jmh.jmh_170_25,eng,https://pubmed.ncbi.nlm.nih.gov/42124807/
PPR,PPR1198015,2026,Enhancing Colposcopic Diagnosis with Machine Learning: A Predictive Model for Five Cervical Lesions in China’s Largest Women’s Hospital,10.22541/au.177096612.23303246/v1,,https://europepmc.org/article/PPR/PPR1198015
MED,42741336,2026,Digital tools to enhance adherence to cervical cancer prevention practices: systematic review.,10.3389/fpubh.2026.1851751,eng,https://pubmed.ncbi.nlm.nih.gov/42741336/
MED,40627254,2025,Progress in the application research of cervical cancer screening developed by artificial intelligence in large populations.,10.1007/s12672-025-03102-0,eng,https://pubmed.ncbi.nlm.nih.gov/40627254/
MED,41827337,2026,Artificial Intelligence Methods in Cephalometric Image Analysis-A Systematic Narrative Review.,10.3390/jcm15051920,eng,https://pubmed.ncbi.nlm.nih.gov/41827337/
MED,42157736,2026,AI for cervical cancer screening on whole slide images: opportunities with open-source simple tools.,10.32074/1591-951x-1763,eng,https://pubmed.ncbi.nlm.nih.gov/42157736/
MED,42086920,2026,Deep learning-assisted versus manual reading in routine cervical cytopathology: a multicentre randomised crossover trial.,10.1038/s41746-026-02703-5,eng,https://pubmed.ncbi.nlm.nih.gov/42086920/
MED,41970442,2026,Revolutionizing Community-Based Cervical Cancer Screening: Evaluating an Indigenous Artificial Intelligence-Enabled Portable Colposcope.,10.1007/s13224-026-02347-1,eng,https://pubmed.ncbi.nlm.nih.gov/41970442/
MED,41867352,2026,Bringing Cervical Cancer Screening Closer to Women: Feasibility of Artificial Intelligence and Remote Assessment in Primary Health Care.,10.3389/ijph.2026.1609094,eng,https://pubmed.ncbi.nlm.nih.gov/41867352/
MED,41660918,2026,Evaluation of the Diagnostic Accuracy of Cervical Cell Morphologies from Android Device-Captured Cytopathological Microscopic Images through Artificial Intelligence in Mainly Rural or Resource-Constraint Areas of India.,10.31557/apjcp.2026.27.2.601,eng,https://pubmed.ncbi.nlm.nih.gov/41660918/
MED,41816190,2026,Prediction models for high-grade cervical lesions or worse using machine learning.,10.1016/j.eclinm.2026.103819,eng,https://pubmed.ncbi.nlm.nih.gov/41816190/
MED,40773936,2025,An explainable attention model for cervical precancer risk classification using colposcopic images.,10.1016/j.cmpb.2025.108976,eng,https://pubmed.ncbi.nlm.nih.gov/40773936/
MED,42614822,2026,"Agreement Between the CerviCARE AI Artificial-Intelligence Software and Visual Inspection with Acetic Acid (VIA) for Cervical Cancer Screening in Women Aged Over 18 Years in Vinh Long Province, Vietnam: A Community-Based Cross-Sectional Study.",10.2147/ijwh.s637592,eng,https://pubmed.ncbi.nlm.nih.gov/42614822/
MED,42649890,2026,"Clinical Impact of HPV Self-Sampling and Molecular Biomarkers on Cervical Cancer Screening and Triage: ""The Times They Are A-Changin'""-A Comprehensive Review and Future Perspectives.",10.3390/cancers18162576,eng,https://pubmed.ncbi.nlm.nih.gov/42649890/
PPR,PPR1248645,2026,Explainable Two-Phase Transfer Learning for Accurate Multi-Class Cervical Cell Classification from Optical Microscopy Images,10.21203/rs.3.rs-9256261/v1,,https://europepmc.org/article/PPR/PPR1248645
MED,41574558,2026,A novel cervical image recognition framework based on feature cognitive enhancement for improved performance.,10.1177/09544119251412982,eng,https://pubmed.ncbi.nlm.nih.gov/41574558/
MED,40441737,2025,Recent advances in applications of machine learning in cervical cancer research: a focus on prediction models.,10.5468/ogs.25041,eng,https://pubmed.ncbi.nlm.nih.gov/40441737/
MED,42047271,2026,A Triage Model for HR-HPV Positive Women Based on Methylation of Human and HPV Genes.,10.1002/jmv.70930,eng,https://pubmed.ncbi.nlm.nih.gov/42047271/
PPR,PPR1315080,2026,CERVEX: A Foundation-Model Framework With Built-In Explainable AI for Automated Cervical Cytology Classification From Pap Smear Images,10.64898/2026.09.03.26362210,,https://europepmc.org/article/PPR/PPR1315080
PPR,PPR1259906,2026,CerViX-Net: A Multi-Branch Fusion of Vision Transformer and Convolutional Neural Networks for Cervical Cancer Detection using Cytology Images,10.64898/2026.06.24.26356425,,https://europepmc.org/article/PPR/PPR1259906
MED,41413554,2025,Machine learning in early screening for high-grade cervical intraepithelial neoplasia using blood testing.,10.1186/s12911-025-03321-z,eng,https://pubmed.ncbi.nlm.nih.gov/41413554/
MED,42719178,2026,Integrating domain-specific convolutional features with Swin Transformers for transparent cervical cancer diagnostics.,10.3389/fonc.2026.1878677,eng,https://pubmed.ncbi.nlm.nih.gov/42719178/
MED,40050635,2025,Leveraging swin transformer with ensemble of deep learning model for cervical cancer screening using colposcopy images.,10.1038/s41598-025-90415-3,eng,https://pubmed.ncbi.nlm.nih.gov/40050635/
MED,41787421,2026,Machine-learning with multiomics for radiotherapy-induced acute rectal toxicities and survival outcome in patients with cervical cancer.,10.1186/s13014-026-02814-z,eng,https://pubmed.ncbi.nlm.nih.gov/41787421/
MED,42038991,2026,"Concordance of AI-Assisted and Hybrid AI-Assisted Cervical Imaging Systems with Visual Inspection with Acetic Acid for Cervical Precancer Screening in West Bandung, Indonesia.",10.2147/ijwh.s585614,eng,https://pubmed.ncbi.nlm.nih.gov/42038991/
MED,41830124,2026,Machine Vision Approaches for Cervical Cancer Screening Using Pap-Smear Images: A Systematic Review.,10.2174/0115680096398033251128082310,eng,https://pubmed.ncbi.nlm.nih.gov/41830124/
PPR,PPR1174647,2026,AI-Assisted Non-Invasive Biosensor Technologies for Privacy-Preserving Screening of Intimate Cancers: A Scoping Review,10.21203/rs.3.rs-9323918/v1,,https://europepmc.org/article/PPR/PPR1174647
MED,42254369,2026,DeepInsight-Net: a CBAM-enhanced ResNet50 framework with focal loss for robust cervical cancer classification on multi-center datasets.,10.3389/fmed.2026.1783634,eng,https://pubmed.ncbi.nlm.nih.gov/42254369/
MED,40691200,2025,"Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural Yunnan, China.",10.1038/s41598-025-09292-5,eng,https://pubmed.ncbi.nlm.nih.gov/40691200/
MED,40706032,2025,Effectiveness of Artificial Intelligence-Assisted Colposcopy in a Resource-Limited Population.,10.1097/aog.0000000000006014,eng,https://pubmed.ncbi.nlm.nih.gov/40706032/
MED,42327708,2026,Predictive modeling for cervical cancer: existing AI approaches and the emerging role of vaginal microbiome.,10.3389/fnetp.2026.1799486,eng,https://pubmed.ncbi.nlm.nih.gov/42327708/
MED,42494731,2026,Pre-analytical reporting in AI-assisted cervical cytology: a scoping review of data acquisition documentation.,10.3389/frai.2026.1884193,eng,https://pubmed.ncbi.nlm.nih.gov/42494731/
MED,42714941,2026,Development and evaluation of a deep learning framework for screening of cervical lymph node metastasis in microscopic images of oral squamous cell carcinoma: A proof of concept study.,10.1111/jmi.70170,eng,https://pubmed.ncbi.nlm.nih.gov/42714941/
MED,42168949,2026,Machine learning prediction of surgical approach and clinical heterogeneity in cervical spondylotic myelopathy.,10.1186/s12891-026-09931-6,eng,https://pubmed.ncbi.nlm.nih.gov/42168949/
MED,42547423,2026,[Diagnostic efficacy and teaching value of artificial intelligence-assisted diagnostic systems in cervical liquid-based cytology screening].,10.3760/cma.j.cn112151-20260119-00048,chi,https://pubmed.ncbi.nlm.nih.gov/42547423/
MED,42486820,2026,[Interpretable machine learning models for preoperative precision prediction of perineural invasion in cervical cancer to support treatment decision: a multicenter retrospective study].,10.12122/j.issn.1673-4254.2026.07.05,chi,https://pubmed.ncbi.nlm.nih.gov/42486820/
MED,41723567,2026,Identification of miRNA biomarkers and development of predictive signatures for early detection and prognosis in cervical precancer and cancer.,10.1186/s40246-026-00924-z,eng,https://pubmed.ncbi.nlm.nih.gov/41723567/
MED,42569197,2026,Predicting lifetime cervical cancer screening among sexually active women in low- and middle-income countries using machine learning models: evidence from Demographic and Health Surveys.,10.1016/j.xagr.2026.100669,eng,https://pubmed.ncbi.nlm.nih.gov/42569197/
MED,41613169,2026,Cervical cancer cell prediction and detection with high test accuracy based on a reliable automated system.,10.1007/s13205-026-04702-5,eng,https://pubmed.ncbi.nlm.nih.gov/41613169/
MED,42510103,2026,Accurate Segmentation of Overlapping Cervical Cells Using an Optimized Deep Learning Framework for Cytology Screening.,10.3390/diagnostics16142240,eng,https://pubmed.ncbi.nlm.nih.gov/42510103/
MED,41742101,2026,Development and interpretability of an XGBoost model to predict high grade cervical intraepithelial neoplasia.,10.1186/s12911-026-03413-4,eng,https://pubmed.ncbi.nlm.nih.gov/41742101/
MED,41241582,2025,Artificial intelligence in women's cancers: innovation and challenges in clinical translation.,10.1016/j.landig.2025.100940,eng,https://pubmed.ncbi.nlm.nih.gov/41241582/
MED,42622122,2026,Assessment of atypical glandular cell interpretation in Pap tests using the Hologic Genius Digital Diagnostics System.,10.1002/cncy.70148,eng,https://pubmed.ncbi.nlm.nih.gov/42622122/
MED,41564861,2026,UniCAS: A foundation model for cervical cytology screening.,10.1016/j.xcrm.2025.102570,eng,https://pubmed.ncbi.nlm.nih.gov/41564861/
PPR,PPR1300481,2026,Spatial and Machine Learning Analysis of Breast and Cervical Cancer Screening Uptake in Ghana: Evidence from the 2022 Ghana Demographic and Health Survey,10.64898/2026.08.15.26360510,,https://europepmc.org/article/PPR/PPR1300481
MED,41688098,2026,Early detection of female-specific cancers using longitudinal healthcare records with a multichannel convolutional neural network.,10.1136/bmjhci-2025-101874,eng,https://pubmed.ncbi.nlm.nih.gov/41688098/
MED,42717183,2026,Exploratory Non-invasive Estimation of Cervical Dilation from Electrohysterography and Maternal Data: A Machine-Learning Proof-of-Concept Study.,10.1007/s10439-026-04349-6,eng,https://pubmed.ncbi.nlm.nih.gov/42717183/
PPR,PPR1123872,2025,Machine-Learning Screening of Early Cervical Lesions Using HPV Genotyping and Exploratory Fusion-Gene Analysis,10.21203/rs.3.rs-7859112/v1,,https://europepmc.org/article/PPR/PPR1123872
MED,41623484,2026,Artificial intelligence for colposcopic and cytological image analysis in early cervical cancer detection.,10.1016/j.isci.2026.114627,eng,https://pubmed.ncbi.nlm.nih.gov/41623484/
PPR,PPR1314022,2026,Artificial Intelligence for Priority Cancer Control Interventions in Kenya: A Strategic Roadmap from Screening to Treatment,10.20944/preprints202609.0560.v1,,https://europepmc.org/article/PPR/PPR1314022
PPR,PPR1089181,2025,Machine Learning in Early Screening for High-Grade Cervical Intraepithelial Neoplasia Using Blood Testing,10.21203/rs.3.rs-7574572/v1,,https://europepmc.org/article/PPR/PPR1089181
MED,40628247,2026,Artificial Intelligence in Gynecologic Cytology.,10.1159/000546182,eng,https://pubmed.ncbi.nlm.nih.gov/40628247/
MED,42323398,2026,Development and multi-institutional validation of a deep learning algorithm for predicting cervical cord compression using dynamic cervical lateral radiographs.,10.1038/s41598-026-56657-5,eng,https://pubmed.ncbi.nlm.nih.gov/42323398/
MED,38263154,2024,Development and validation of artificial intelligence-based analysis software to support screening system of cervical intraepithelial neoplasia.,10.1038/s41598-024-51880-4,eng,https://pubmed.ncbi.nlm.nih.gov/38263154/
MED,42401177,2026,"Rethinking cancer screening in Italy: equity, performance and innovation.",10.1016/j.puhe.2026.106410,eng,https://pubmed.ncbi.nlm.nih.gov/42401177/
MED,40302490,2025,Deep learning-based decision support system for cervical cancer identification in liquid-based cytology pap smears.,10.1177/09287329251330081,eng,https://pubmed.ncbi.nlm.nih.gov/40302490/
MED,42756257,2026,Diagnostic accuracy of an artificial intelligence-driven cytopathological tool in detecting cervical pre-cancerous lesions from Pap smear images.,10.3389/fdgth.2026.1859980,eng,https://pubmed.ncbi.nlm.nih.gov/42756257/
MED,40596216,2025,A hybrid compound scaling hypergraph neural network for robust cervical cancer subtype classification using whole slide cytology images.,10.1038/s41598-025-05891-4,eng,https://pubmed.ncbi.nlm.nih.gov/40596216/
PPR,PPR1260052,2026,A Machine Learning Model Based on Routine Preoperative Laboratory Parameters for the Auxiliary Differentiation of HSIL and Cervical Cancer,10.20944/preprints202606.1874.v1,,https://europepmc.org/article/PPR/PPR1260052
MED,40865649,2025,Multidimensional technological advances in cervical cancer screening: From standardized processes to precision medicine.,10.1016/j.bbcan.2025.189432,eng,https://pubmed.ncbi.nlm.nih.gov/40865649/
PPR,PPR1173991,2026,Adaptive Heterogeneous Representation Learning for Reliable and Compact Pap Smear Screening,10.21203/rs.3.rs-9186105/v1,,https://europepmc.org/article/PPR/PPR1173991
MED,40940896,2025,"Machine Learning Models for Predicting Gynecological Cancers: Advances, Challenges, and Future Directions.",10.3390/cancers17172799,eng,https://pubmed.ncbi.nlm.nih.gov/40940896/
MED,41222472,2026,Automating the Detection of Acetowhite Lesions by Classifying the Temporal Behavior of Cervical Regions.,10.1097/lgt.0000000000000927,eng,https://pubmed.ncbi.nlm.nih.gov/41222472/
MED,40222978,2025,Deep learning enabled liquid-based cytology model for cervical precancer and cancer detection.,10.1038/s41467-025-58883-3,eng,https://pubmed.ncbi.nlm.nih.gov/40222978/
MED,40106366,2025,"Identifying Data-Driven Clinical Subgroups for Cervical Cancer Prevention With Machine Learning: Population-Based, External, and Diagnostic Validation Study.",10.2196/67840,eng,https://pubmed.ncbi.nlm.nih.gov/40106366/
MED,40957290,2025,Performance evaluation of machine learning models in cervical cancer diagnosis: Systematic review and meta-analysis.,10.1016/j.ejca.2025.115768,eng,https://pubmed.ncbi.nlm.nih.gov/40957290/
MED,41510574,2026,Artificial intelligence application in the prediction of spontaneous preterm birth by cervical length in the first trimester of pregnancy: Comparison of three measurement methods.,10.1002/ijgo.70744,eng,https://pubmed.ncbi.nlm.nih.gov/41510574/
MED,42192906,2026,Artificial Intelligence in Oncology: A Comprehensive Cross-Cancer Translational Readiness Analysis Across 18 Malignancies.,10.3390/cancers18101543,eng,https://pubmed.ncbi.nlm.nih.gov/42192906/
MED,39558397,2024,Artificial intelligence in cytopathological applications for cancer: a review of accuracy and analytic validity.,10.1186/s40001-024-02138-2,eng,https://pubmed.ncbi.nlm.nih.gov/39558397/
MED,41743951,2026,CINPred: a risk prediction tool for cervical intraepithelial neoplasia.,10.3389/fonc.2026.1702579,eng,https://pubmed.ncbi.nlm.nih.gov/41743951/
MED,42230744,2026,Predicting knowledge of cervical cancer screening among reproductive-age women in sub-saharan africa using machine learning algorithms.,10.1038/s41598-026-54976-1,eng,https://pubmed.ncbi.nlm.nih.gov/42230744/
MED,41066206,2025,Assessment of the efficiency and accuracy of an artificial intelligence assistive system in the diagnosis of Pap cervical atypical glandular cell cytology.,10.1002/cncy.70056,eng,https://pubmed.ncbi.nlm.nih.gov/41066206/
MED,42666399,2026,Cervical cancer patients' vaginal microbiome and metabolites: research progress and clinical applications.,10.3389/fmicb.2026.1891111,eng,https://pubmed.ncbi.nlm.nih.gov/42666399/
PPR,PPR989342,2025,Assessing the diagnostic accuracy of artificial intelligence in detecting cervical pre-cancer from pap smear images,10.1101/2025.03.09.25323636,,https://europepmc.org/article/PPR/PPR989342
MED,41088064,2025,Vaginal Microenvironment-Driven neural network model for predicting multiple HPV co-infections: a machine learning clinical decision framework.,10.1186/s12905-025-03957-z,eng,https://pubmed.ncbi.nlm.nih.gov/41088064/
MED,42475847,2026,A rapid detection of early-stage cervical cancer using nucleus and cytoplasm-based machine learning-driven refractive index surface plasmon resonance biosensor with ZnO-ag efficient materials.,10.1016/j.saa.2026.128429,eng,https://pubmed.ncbi.nlm.nih.gov/42475847/
MED,39052464,2025,Deep Learning-Based Automated Measurement of Cervical Length in Transvaginal Ultrasound Images of Pregnant Women.,10.1109/jbhi.2024.3433594,eng,https://pubmed.ncbi.nlm.nih.gov/39052464/
MED,41917479,2026,Radiographic choice for skeletal maturation assessment: a systematic review of Cervical Vertebrae Method and Middle Phalanx Method.,10.1007/s11282-026-00912-y,eng,https://pubmed.ncbi.nlm.nih.gov/41917479/
MED,42430284,2026,Artificial Intelligence for Cervical Human Papillomavirus Infection and Lesion Screening: A Cross-Sectional Analysis of Its Application Potential and Patient Satisfaction.,10.1159/000553436,eng,https://pubmed.ncbi.nlm.nih.gov/42430284/
MED,40437403,2025,Integrating SEResNet101 and SE-VGG19 for advanced cervical lesion detection: a step forward in precision oncology.,10.1186/s12885-025-14353-z,eng,https://pubmed.ncbi.nlm.nih.gov/40437403/
MED,42253708,2026,Ensemble Learning to Categorize the Bethesda System of Reporting of Cervical Cytology.,10.4103/joc.joc_130_25,eng,https://pubmed.ncbi.nlm.nih.gov/42253708/
MED,42630437,2026,AI-enhanced virtual screening identifies a potent small-molecule modulator of ClC-3 for cervical cancer drug discovery.,10.3389/fbinf.2026.1887419,eng,https://pubmed.ncbi.nlm.nih.gov/42630437/
MED,39415343,2024,Risk-stratified management of cervical high-grade squamous intraepithelial lesion based on machine learning.,10.1002/jmv.70016,eng,https://pubmed.ncbi.nlm.nih.gov/39415343/
MED,42635729,2026,Preventing fragility fractures: AI-based opportunistic osteoporosis detection in routine CT ​.,10.1007/s00198-026-08186-0,eng,https://pubmed.ncbi.nlm.nih.gov/42635729/
MED,42032352,2026,Predicting cervical cancer among women living with HIV/AIDS at public health facilities in a resource-limited setting in Ethiopia using machine learning analysis.,10.1007/s12672-026-05043-8,eng,https://pubmed.ncbi.nlm.nih.gov/42032352/
PPR,PPR730681,2023,Development and validation of artificial intelligence-based analysis software to support screening system of cervical intraepithelial neoplasia,10.21203/rs.3.rs-3351891/v1,,https://europepmc.org/article/PPR/PPR730681
PPR,PPR1068642,2025,A Case Study on Colposcopy-Based Cervical Cancer Staging Reveals an Alarming Lack of Data Sharing Hindering the Adoption of Machine Learning in Clinical Practice,10.1101/2025.08.14.25333566,,https://europepmc.org/article/PPR/PPR1068642
MED,42728937,2026,Dataset of multi-focus (Z-stack) images derived from liquid-based cervical cancer cytology specimens.,10.12688/f1000research.179164.1,eng,https://pubmed.ncbi.nlm.nih.gov/42728937/
MED,42098495,2026,Machine learning and neural network algorithms for prediction of C5 palsy after posterior surgery for ossification of posterior longitudinal ligament.,10.1007/s00586-026-09988-w,eng,https://pubmed.ncbi.nlm.nih.gov/42098495/
MED,38778014,2024,Artificial intelligence enables precision diagnosis of cervical cytology grades and cervical cancer.,10.1038/s41467-024-48705-3,eng,https://pubmed.ncbi.nlm.nih.gov/38778014/
MED,42234064,2026,Deep learning for early detection of Zenker's diverticulum based on swallowing sound analysis.,10.1007/s11548-026-03727-8,eng,https://pubmed.ncbi.nlm.nih.gov/42234064/
MED,42690850,2026,Stage-specific lipidomic signatures as biomarkers in progression of cervical cancer.,10.25259/ijmr_3238_2025,eng,https://pubmed.ncbi.nlm.nih.gov/42690850/
